"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",256382.930904078,40252120.1519402,0.139958179477289,256382.930904078,0.12503227299287,40252120.1519402,0.139958179477289,256382.930904078,0.12503227299287,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"2","trend",0.0305446484372638,8546592.07168668,0.0297168313761639,54436.8921763483,0.0265476657883403,8546592.07168668,0.0297168313761639,54436.8921763483,0.0265476657883403,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"3","season",0.160063856643298,58597.5655859487,0.000203746003198172,373.232901821329,0.000182017413974821,58597.5655859487,0.000203746003198172,373.232901821329,0.000182017413974821,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.934321268465647,6502421.87621814,0.0226091724995738,260096.875048726,0.126843481237258,6502421.87621814,0.0226091724995738,260096.875048726,0.126843481237258,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.237485737866075,206906344.939738,0.719421368383992,1317874.80853336,0.642698335064353,206906344.939738,0.719421368383992,1317874.80853336,0.642698335064353,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"6","events",0,0,0,0,0,0,0,0,0,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"7","tv_S",261958.01661402,7734856.07353735,0.0268943938973847,49266.5991945054,0.0240262284942142,7734856.07353735,0.0268943938973847,49266.5991945054,0.0240262284942142,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,7774236.44,49517.4295541401,109720.482956541,60203.0534024012,13017.1164507812,0.206047362680601,0.305303433931902,0.262879486435153,0.994934503630474,1.0050912862616,5,FALSE,0.932520638947653,0.016558566149248,0.717984249396101,1.14655957649713,0.587495034422247
"8","ooh_S",228008.475344784,9736440.58976565,0.0338539807192416,62015.545157743,0.0302436068759414,9736440.58976565,0.0338539807192416,62015.545157743,0.0302436068759414,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,24719081.6,157446.379617834,162969.829837687,5523.45021985302,59707.5532430086,0.655151359349006,0.384308216994395,0.379224682002439,0.393883589500576,2.53882118132402,5,FALSE,0.413442746369715,0.00786976179629413,0.311253664662659,0.514941937285654,0.594010777422481
"9","print_S",94218.2054511062,2790473.35458092,0.00970258384186512,17773.7156342734,0.00866784718251603,2790473.35458092,0.00970258384186512,17773.7156342734,0.00866784718251603,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,1804904.93333333,11496.2097664544,17928.2361321535,6432.02636569912,15780.3548014035,0.0478369682055284,0.110143109238155,1.3726571732755,1.54605004565388,0.646809592490948,5,FALSE,1.47481867508604,0.0388909073301893,0.971138411155049,1.97772818348558,0.315535406018336
"10","facebook_S",38060.1029153148,1328353.63761258,0.00461873700367878,8460.85119498457,0.00412616960354179,1328353.63761258,0.00461873700367878,8460.85119498457,0.00412616960354179,TRUE,0.6583892,0.941914239835049,0.762785253351069,0.976679768780091,0.0551203570997608,0.585362518475363,0.209594704554044,0.585362518475363,0.307760687462251,0.933108273513434,9362.87268702975,4.29902e-05,65481090.2533626,1e-04,"3_84_1",3,84,1,1246,6,1002234.0659765,6383.65647118789,6733.15814981149,349.501678623603,7709.06417502074,0.0265630827769259,0.0524316061195414,1.20762516119327,1.32539262304792,0.754493410186909,5,FALSE,1.76231025230402,0.106458959146751,0.387432304626187,3.14284499120266,0.314274347319971
