"","rn","liftStart","liftEnd","liftAbs","decompStart","decompEnd","decompAbsScaled","decompAbsTotalScaled","calibrated_pct","mape_lift","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","cluster","top_sol"
"1","facebook_S",2018-05-01,2018-06-10,4e+05,2018-04-30,2018-06-04,310556.99186589,526679.118797209,0.589651233136255,0.223607520335275,0.929937007003965,0.780748944682297,0.950616284213176,0.0605370880563856,0.568565973721627,0.288040185835363,0.568565973721627,0.531709596412718,0.705401081699908,77258.6503049561,0.00107997,65481090.2533626,1e-04,"3_104_12",3,104,12,1557,1,FALSE
"2","facebook_S+search_S",2018-07-01,2018-07-20,7e+05,2018-06-25,2018-07-16,281298.046949762,343691.806897912,0.818460147446336,0.598145647214625,0.929937007003965,0.780748944682297,0.950616284213176,0.0605370880563856,0.568565973721627,0.288040185835363,0.568565973721627,0.531709596412718,0.705401081699908,77258.6503049561,0.00107997,65481090.2533626,1e-04,"3_104_12",3,104,12,1557,1,FALSE
"3","newsletter",2017-12-01,2017-12-31,200,2017-11-27,2017-12-25,0,0,NA,1,0.929937007003965,0.780748944682297,0.950616284213176,0.0605370880563856,0.568565973721627,0.288040185835363,0.568565973721627,0.531709596412718,0.705401081699908,77258.6503049561,0.00107997,65481090.2533626,1e-04,"3_104_12",3,104,12,1557,1,FALSE
"4","tv_S",2018-04-03,2018-06-03,3e+05,2018-04-02,2018-05-28,44.6522250807487,39225.5509112428,0.00113834539078329,0.999851159249731,0.929937007003965,0.780748944682297,0.950616284213176,0.0605370880563856,0.568565973721627,0.288040185835363,0.568565973721627,0.531709596412718,0.705401081699908,77258.6503049561,0.00107997,65481090.2533626,1e-04,"3_104_12",3,104,12,1557,1,FALSE
"5","facebook_S",2018-05-01,2018-06-10,4e+05,2018-04-30,2018-06-04,311329.555319699,527989.322881239,0.589651233136255,0.221676111700753,0.929944711916312,0.780821019348677,0.948131128321565,0.0605337592963546,0.56847251334774,0.295198808722428,0.56847251334774,0.532027568357698,0.705753696438452,77258.6503049561,0.00107997,65481090.2533626,1e-04,"3_106_12",3,106,12,1587,1,FALSE
"6","facebook_S+search_S",2018-07-01,2018-07-20,7e+05,2018-06-25,2018-07-16,278958.33526522,341871.754397623,0.815973626592065,0.601488092478257,0.929944711916312,0.780821019348677,0.948131128321565,0.0605337592963546,0.56847251334774,0.295198808722428,0.56847251334774,0.532027568357698,0.705753696438452,77258.6503049561,0.00107997,65481090.2533626,1e-04,"3_106_12",3,106,12,1587,1,FALSE
"7","newsletter",2017-12-01,2017-12-31,200,2017-11-27,2017-12-25,0,0,NA,1,0.929944711916312,0.780821019348677,0.948131128321565,0.0605337592963546,0.56847251334774,0.295198808722428,0.56847251334774,0.532027568357698,0.705753696438452,77258.6503049561,0.00107997,65481090.2533626,1e-04,"3_106_12",3,106,12,1587,1,FALSE
"8","tv_S",2018-04-03,2018-06-03,3e+05,2018-04-02,2018-05-28,44.8255275605046,39377.7915942193,0.00113834539078329,0.999850581574798,0.929944711916312,0.780821019348677,0.948131128321565,0.0605337592963546,0.56847251334774,0.295198808722428,0.56847251334774,0.532027568357698,0.705753696438452,77258.6503049561,0.00107997,65481090.2533626,1e-04,"3_106_12",3,106,12,1587,1,FALSE
"9","facebook_S",2018-05-01,2018-06-10,4e+05,2018-04-30,2018-06-04,304039.656603593,447024.946805478,0.680140244468046,0.239900858491016,0.931531813126688,0.779877862364503,0.952094348618086,0.0598441354878701,0.569694307669136,0.283696890089981,0.569694307669136,0.524282787695922,0.715632170015839,67243.991711269,0.000927015,65481090.2533626,1e-04,"3_110_12",3,110,12,1647,1,FALSE
"10","facebook_S+search_S",2018-07-01,2018-07-20,7e+05,2018-06-25,2018-07-16,264032.62411275,305385.961214826,0.864586646558431,0.622810536981786,0.931531813126688,0.779877862364503,0.952094348618086,0.0598441354878701,0.569694307669136,0.283696890089981,0.569694307669136,0.524282787695922,0.715632170015839,67243.991711269,0.000927015,65481090.2533626,1e-04,"3_110_12",3,110,12,1647,1,FALSE
