"","ds","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","type","solID"
"1",2015-11-23,67075.04,0,38185.4666666667,22821.3987444138,0,19401.6538461538,"rawMedia","3_130_15"
"2",2015-11-30,85840.36,0,0,3425.85735106246,12400,14791,"rawMedia","3_130_15"
"3",2015-12-07,0,396835.2,1361.6,12769.1261334797,11360,14544,"rawMedia","3_130_15"
"4",2015-12-14,250350.92,0,53040,8401.47203055314,12760,2800,"rawMedia","3_130_15"
"5",2015-12-21,0,832008,0,2068.74781557608,10840,15478,"rawMedia","3_130_15"
"6",2015-12-28,99675.92,0,95766.9333333332,16011.0155202057,11320,13817,"rawMedia","3_130_15"
"7",2016-01-04,2061.16,680260.8,0,10869.036698611,11120,28817,"rawMedia","3_130_15"
"8",2016-01-11,8856.68,0,70743.8666666668,12389.4484594755,12800,19082,"rawMedia","3_130_15"
"9",2016-01-18,0,0,0,10869.036698611,9160,19679,"rawMedia","3_130_15"
"10",2016-01-25,0,0,33731.7333333333,9008.07175523908,9160,15095,"rawMedia","3_130_15"
"11",2016-02-01,49535.48,127432,0,0,8240,9795,"rawMedia","3_130_15"
"12",2016-02-08,0,0,14290.6666666667,10693.1465933599,8080,10876,"rawMedia","3_130_15"
"13",2016-02-15,198829.32,0,7345.2,4345.79322069274,0,19401.6538461538,"rawMedia","3_130_15"
"14",2016-02-22,0,0,0,0,0,19401.6538461538,"rawMedia","3_130_15"
"15",2016-02-29,124668.88,0,0,7246.78921194176,6880,583,"rawMedia","3_130_15"
"16",2016-03-07,0,0,49518.2666666668,0,8480,8224,"rawMedia","3_130_15"
"17",2016-03-14,59317.32,131982.4,0,0,7120,5311,"rawMedia","3_130_15"
"18",2016-03-21,0,0,0,0,6880,7428,"rawMedia","3_130_15"
"19",2016-03-28,0,198265.6,40738.2666666668,19413.1452155839,7600,10025,"rawMedia","3_130_15"
"20",2016-04-04,0,0,0,62.5119342115275,5720,9460,"rawMedia","3_130_15"
"21",2016-04-11,0,199241.6,0,0,5600,2964,"rawMedia","3_130_15"
"22",2016-04-18,33380.2,0,0,7046.06355991445,5360,11663,"rawMedia","3_130_15"
"23",2016-04-25,0,0,0,0,5400,6317,"rawMedia","3_130_15"
"24",2016-05-02,0,0,37555.7333333333,0,3800,5408,"rawMedia","3_130_15"
"25",2016-05-09,0,149873.6,0,0,4280,1900,"rawMedia","3_130_15"
